 index	Title	Beats Per Minute	Popularity
1678	Fake Plastic Trees	74	70
1679	Too Much Love Will Kill You - 2011 Remaster	73	49
1680	1979 - Remastered 2012	127	74
1681	Avalon	137	46
1682	You Don't Fool Me - Remastered 2011	122	45
1683	Can You Feel The Love Tonight	123	58
1684	Dear Mama	84	72
1685	Diane	124	44
1686	Stranger in Moscow	130	58
1687	An American Trilogy	84	31
1688	Secret Garden	87	61
1689	"Tonight, Tonight - Remastered 2012"	149	68
1690	Bullet With Butterfly Wings - Remastered 2012	122	71
1691	A Winter's Tale - 2011 Remaster	54	29
1692	Gold	90	46
1693	High And Dry	88	72
1694	Fairground	123	56
1695	Avond	98	40
1696	She - Tous les visages de l’amour	132	60
1697	Insomnia	127	55
1698	Jesus to a Child	174	62
1699	Down Under	107	74
1700	Jump	130	57
1701	Het Is Een Nacht... (Levensecht)	138	58
1702	Where the Wild Roses Grow - 2011 - Remaster	155	59
1703	Beautiful Noise	127	57
1704	Yesterday When I Was Young	68	53
1705	De Waarheid	61	50
1706	Wereld Zonder Jou	121	55
1707	Wannabe	110	80
1708	Hedonism (Just Because You Feel Good)	81	32
1709	Killing Me Softly With His Song	92	74
1710	You Have Been Loved	137	53
1711	Children	137	67
1712	No Diggity	89	76
1713	"Casser la voix - Live ""Si Ce Soir"""	135	35
1714	Beautiful Goodbye	99	37
1715	Ain't Nobody	104	70
1716	A Long December	71	63
1717	Novocaine For The Soul	169	54
1718	Per Spoor (Kedeng Kedeng)	126	49
1719	Bitter Sweet Symphony	171	78
1720	Zeg Me Dat Het Niet Zo Is	70	48
1721	Du hast	125	67
1722	"Take Me Home, Country Roads"	164	77
1723	Karma Police	75	74
1724	Everlong	158	77
1725	Op Fietse	104	46
1726	Paranoid Android	164	67
1727	Lopen Tot De Zon Komt	100	49
1728	Into My Arms - 2011 Remastered Version	94	65
1729	Engel	96	60
1730	k Heb Je Lief	136	54
1731	Chan Chan	166	68
1732	Firestarter	142	64
1733	The Unforgiven II	133	55
1734	Smack My Bitch Up	136	65
1735	You'll Never Walk Alone	113	55
1736	Good Riddance (Time of Your Life)	95	75
1737	Candle In The Wind 1997	126	53
1738	No Surprises	76	71
1739	Als Het Vuur Gedoofd Is	92	42
1740	Little Green Bag	103	44
1741	Beds Are Burning - Remastered	119	63
1742	"My Heart Will Go On - Love Theme from ""Titanic"""	99	75
1743	t Dondert En 't Bliksemt	121	50
1744	Breathe	130	66
1745	The Memory Remains	144	51
1746	N'oubliez Jamais	87	35
1747	Tell Him	76	47
1748	Mooi Liedje	177	42
1749	Can't Stand Losing You	142	45
1750	Songbird	153	61
1751	Hier Komt De Storm	89	31
1752	The Drugs Don't Work	77	64
1753	Around the World	121	70
1754	Somebody to Love	110	57
1755	Nobody's Wife	98	33
1756	Als Ze Er Niet Is	166	50
1757	Careless Whisper	153	76
1758	Whiskey In The Jar	133	61
1759	Don't Let the Sun Go Down on Me	135	66
1760	The Whole of the Moon	106	59
1761	Liefs Uit Londen	77	51
1762	Narcotic - Long Version	102	42
1763	New Year's Day	133	58
1764	Cowboys and Angels	128	43
1765	Zelfs Je Naam Is Mooi	94	49
1766	Toen Ik Je Zag - Single Version	81	47
1767	"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack"	121	76
1768	Fields Of Gold	80	62
1769	A Different Corner	99	58
1770	Teardrop	77	69
1771	Faith	96	46
1772	Father Figure	102	51
1773	Niet Of Nooit Geweest	122	54
1774	Is Dit Nu Later	134	39
1775	De Bestemming	109	50
1776	Freak On a Leash	103	73
1777	Onderuit	118	35
1778	Non non rien n'a changé	84	50
1779	I'm Not so Tough	117	40
1780	Killer / Papa Was a Rollin' Stone	122	51
1781	I Knew You Were Waiting (For Me)	108	63
1782	If You Tolerate This Your Children Will Be Next	96	37
1783	Praying for Time	128	45
1784	Hilversum 3	91	39
1785	The Reflex	127	50
1786	World of Hurt	99	40
1787	As	93	61
1788	Pure Morning	81	60
1789	She's The One	167	68
1790	Ik Heb Je Lief	131	44
1791	Pretty Fly (For A White Guy)	143	72
1792	I Can't Make You Love Me	116	53
1793	Praise You	110	44
1794	Sacrifice	136	11
1795	Toveren	145	44
1796	Kissing a Fool	117	56
1797	Hijo de la Luna	179	62
1798	"Slaap Zacht , Elisabeth"	174	37
1799	Angels	150	50
1800	Tears in Heaven	154	61
1801	Californication	96	81
1802	Harder Dan Ik Hebben Kan	90	57
1803	Learn to Fly	136	74
1804	Total Eclipse of the Heart	130	75
1805	Scar Tissue	89	77
1806	Otherside	123	78
1807	"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version"	97	62
1808	Let Me Entertain You	125	44
1809	Road Trippin'	204	62
1810	Jesus He Knows Me	95	18
1811	The Family Tree	127	41
1812	Porcelain	95	54
1813	Unintended	139	61
1814	LA Song	130	41
1815	The Dolphin's Cry	150	56
1816	All Star	104	80
1817	Why Does My Heart Feel So Bad?	98	45
1818	Il Volo	150	24
1819	The Next Episode	95	70
1820	Geen Kind Meer	77	38
1821	All The Small Things	149	79
1822	Run To The Water	181	48
1823	Hart Van Mijn Gevoel	140	44
1824	Smooth (feat. Rob Thomas)	116	70
1825	My Name Is	86	72
1826	Desert Rose	112	52
1827	Hey Boy Hey Girl	127	65
1828	At Last	87	74
1829	Can't Help Falling in Love	100	78
1830	Fly Me To The Moon (In Other Words)	119	77
1831	Stand by Me	118	77
1832	"Oh, Pretty Woman"	127	73
1833	Ring of Fire	104	71
1834	Blowin' in the Wind	175	69
1835	In Dreams	108	57
1836	Twist And Shout - Remastered 2009	125	74
1837	Are You Lonesome Tonight	66	59
1838	I Saw Her Standing There - Remastered 2009	160	71
1839	"Don't Think Twice, It's All Right"	111	65
1840	The Sound of Silence - Acoustic Version	107	75
1841	House Of The Rising Sun	117	69
1842	Folsom Prison Blues	111	58
1843	The Times They Are A-Changin'	172	69
1844	A Change Is Gonna Come	174	66
1845	A Hard Day's Night - Remastered 2009	139	69
1846	Nathalie	135	53
1847	Eight Days A Week - Remastered 2009	138	66
1848	It's All Over Now - Mono Version	99	46
1849	Yesterday - Remastered 2009	97	78
1850	(I Can't Get No) Satisfaction - Mono Version	136	77
1851	Like a Rolling Stone	95	71
1852	Norwegian Wood (This Bird Has Flown) - Remastered 2009	177	69
1853	Help! - Remastered 2009	95	73
1854	Unchained Melody	99	70
1855	Michelle - Remastered 2009	117	67
1856	Feeling Good	79	74
1857	My Generation - Stereo Version	97	71
1858	In My Life - Remastered 2009	103	74
1859	As Tears Go By - Mono Version	113	53
1860	It Was A Very Good Year	80	62
1861	Time Is On My Side - Mono Version	100	53
1862	Little Red Rooster - Mono Version	109	47
1863	Mr. Tambourine Man	120	62
1864	"Paint It, Black"	159	78
1865	God Only Knows - Remastered	117	72
1866	California Dreamin' - Single Version	112	76
1867	Eleanor Rigby - Remastered 2009	138	71
1868	River Deep - Mountain High	83	57
1869	That's Life	112	75
1870	Jumpin' Jack Flash - Mono	137	65
1871	Scarborough Fair / Canticle	129	63
1872	Sloop John B - Remastered	126	61
1873	Homeward Bound	93	65
1874	Under My Thumb	127	64
1875	I Want You	100	58
1876	When a Man Loves a Woman	97	66
1877	Sunny Afternoon - Mono Mix	125	67
1878	How Can We Hang On To A Dream	127	48
1879	"Monday, Monday - Single Version"	110	62
1880	For No One - Remastered 2009	81	63
1881	"It's A Man's, Man's, Man's World"	81	63
1882	Try a Little Tenderness	103	64
1883	Wouldn't It Be Nice - Stereo Mix	125	72
1884	Nights In White Satin - Single Version / Mono Mix	85	68
1885	The End	106	61
1886	A Day In The Life - Remastered 2009	163	67
1887	Brown Eyed Girl	151	79
1888	Respect	115	73
1889	White Rabbit	107	69
1890	Penny Lane	114	45
1891	Suzanne	132	66
1892	Hey Joe	169	71
1893	Good Vibrations - Remastered	133	71
1894	Light My Fire	125	72
1895	Strawberry Fields Forever - Remastered 2009	98	70
1896	"So Long, Marianne"	95	62
1897	Little Wing	71	69
1898	The Fool On The Hill - Remastered 2009	144	58
1899	People Are Strange	119	70
1900	The Wind Cries Mary	80	63
1901	Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009	96	65
1902	Lucy In The Sky With Diamonds - Remastered 2009	65	69
1903	Purple Haze	109	72
1904	Ruby Tuesday	105	63
1905	All You Need Is Love - Remastered 2009	103	68
1906	"He Ain't Heavy, He's My Brother"	76	50
1907	When I'm Sixty Four - Remastered 2009	140	65
1908	Somebody Will Know Someday	82	37
1909	I Am The Walrus - Remastered 2009	85	65
1910	Guitar Man	114	41
1911	Ain't No Mountain High Enough	130	80
1912	San Francisco (Be Sure to Wear Some Flowers In Your Hair)	112	53
1913	She's Leaving Home - Remastered 2009	128	63
1914	I'm a Believer - 2006 Remaster	80	73
1915	Waterloo Sunset - Mono Mix	108	66
1916	Sunshine Of Your Love	115	74
1917	Break on Through (To the Other Side)	90	72
1918	Somebody to Love	132	69
1919	Green Green Grass Of Home	95	62
1920	To Love Somebody	90	66
1921	Pastorale - Remastered	112	45
1922	(Sittin' On) the Dock of the Bay	104	73
1923	Blackbird - Remastered 2009	94	74
1924	I Put A Spell On You	100	60
1925	While My Guitar Gently Weeps - Remastered 2009	115	70
1926	All Along the Watchtower	113	77
1927	"Window Of My Eyes - From ""The American"" Soundtrack"	184	43
1928	I Say a Little Prayer	133	75
1929	(You Make Me Feel Like) A Natural Woman	111	69
1930	White Room	110	74
1931	"Mrs. Robinson - From ""The Graduate"" Soundtrack"	92	76
1932	What A Wonderful World - Single Version	77	68
1933	Lea	167	48
1934	The Weight - Remastered	144	72
1935	Ain't Got No - I Got Life - Remastered	122	48
1936	Voodoo Child (Slight Return)	176	67
1937	Suzie Q	130	56
1938	Born To Be Wild - Single Version	146	67
1939	Words	80	59
1940	Massachussetts	102	57
1941	Times Were When	99	43
1942	I Started A Joke	145	66
1943	MacArthur Park	170	36
1944	I'd Rather Go Blind	83	67
1945	Daydream Believer	126	69
1946	Back In The U.S.S.R. - Remastered 2009	142	66
1947	"Girl, You'll Be A Woman Soon"	110	59
1948	Here Comes The Sun - Remastered 2009	129	82
1949	Space Oddity - 2015 Remaster	140	73
1950	Gimme Shelter	119	76
1951	Suspicious Minds	117	72
1952	Whole Lotta Love - 1990 Remaster	90	76
1953	Sweet Caroline	63	78
1954	Fortunate Son	133	80
1955	In the Ghetto	89	63
1956	Bad Moon Rising	179	77
1957	You Can't Always Get What You Want	86	67
1958	With A Little Help From My Friends	145	69
1959	My Way	75	73
1960	Come Together - Remastered 2009	165	79
1961	Something - Remastered 2009	134	72
1962	Albatross - 2018 Remaster	136	50
1963	Just A Little Bit Of Peace In My Heart	95	42
1964	Venus	128	59
1965	Son of a Preacher Man	182	61
1966	Pinball Wizard	124	69
1967	Marian	80	46
1968	Proud Mary	121	60
1969	Beautiful People	129	44
1970	Oh Well (Pt. 1) - 2013 Remaster	103	41
1971	Born On The Bayou	117	59
1972	Scarlet Ribbons	101	44
1973	The Thrill Is Gone	91	60
1974	Dazed and Confused	87	63
1975	Overture	118	43
1976	Streets of London	156	57
1977	Down On The Corner	108	73
1978	Appleknockers Flophouse	197	34
1979	The First Time Ever I Saw Your Face	121	64
1980	Touch Me	109	68
1981	Summertime	89	36
1982	Midnight Rambler	75	50
1983	Get Ready	127	45
1984	Black Magic Woman - 2018 Remaster	129	48
1985	Suite: Judy Blue Eyes - Remastered	154	67
1986	Blue Suede Shoes	95	62
1987	Jailhouse Rock	167	73
1988	My Baby Just Cares for Me - 2013 Remastered Version	119	68
1989	Summertime	168	66
1990	Heartbreak Hotel	94	63
1991	Hound Dog	175	69
1992	Johnny B. Goode	168	74
1993	Take Five	174	65
1994	Blueberry Hill	133	56
