 index	Title	Beats Per Minute	Popularity
344	Stand My Ground	88	56
345	Chasing Cars	104	78
346	Dani California	96	76
347	Unfinished Sympathy	114	53
348	Nine Million Bicycles	82	61
349	You're Beautiful	82	76
350	It's My Life	120	77
351	Politik	171	62
352	Mooie Dag	85	40
353	In Nije Dei	130	38
354	Sex on Fire	153	79
355	Hallelujah	182	49
356	Somewhere Only We Know	172	67
357	Sunrise	106	55
358	How You Remind Me	172	78
359	When You Say Nothing At All	174	74
360	Hard Sun	143	66
361	Belfast Child	81	43
362	Feel Good Inc.	139	80
363	Alles Is Liefde	144	36
364	Jerusalem	132	40
365	Mr Bojangles	137	58
366	Tranen Gelachen	186	50
367	When The Sun Goes Down	169	57
368	Frozen	108	55
369	The Racing Rats	153	43
370	Poker Face	119	69
371	Life in Technicolor ii	131	47
372	One	94	47
373	Ruby	93	62
374	Het Land Van	83	49
375	Bad Romance	119	79
376	Elevation	110	49
377	Trouble	140	71
378	De Peel In Brand	199	33
379	Black Betty	117	61
380	Wrong	90	48
381	Never Be Clever	138	41
382	Undisclosed Desires	116	65
383	Auto Vliegtuug	96	34
384	Meer Dan Een Ander	94	34
385	Brabant	82	61
386	Mother Earth	105	45
387	One More Time	123	75
388	(You're The) Devil in Disguise	123	65
389	TRUE - Single Edit	97	72
390	Make It Wit Chu	92	59
391	Bring Me To Life	95	78
392	Clocks	131	76
393	Farewell To The Fairground	118	54
394	Bliss	128	46
395	Kijk Omhoog	166	48
396	9 Crimes	74	57
397	Working On a Dream	110	48
398	Nutbush City Limits	77	56
399	Do They Know It's Christmas? - 1984 Version	115	84
400	Changes	111	72
401	Mag Ik Dan Bij Jou	132	53
402	Sterrenstof	97	48
403	Love Will Tear Us Apart - 2010 Remaster	147	64
404	Mag Het Licht Uit	113	43
405	Why Tell Me Why	112	54
406	Wonderful Days	174	37
407	Dat Komt Door Jou	134	57
408	Don't Give up the Fight	91	27
409	I Follow Rivers - Live @ Giel!	110	42
410	Liverpool Rain	183	26
411	No Mercy	104	36
412	Peter Gunn Theme	131	14
413	Alors on danse	120	61
414	The Eve of the War	127	28
415	A Night Like This	123	40
416	Raise Your Glass	122	76
417	Verdammt ich lieb dich - Remastered	100	38
418	Christmas Lights	131	84
419	The Promise You Made	117	48
420	Back Home	123	37
421	Times Are Changing	123	47
422	Proosten	136	49
423	Just the Way You Are	109	80
424	Need You Now	108	53
425	Man Down	156	59
426	Pyro	115	66
427	You Got It	115	44
428	Atmosphere - 2010 Remaster	120	51
429	Grenade	110	75
430	Have You Ever Been Mellow	172	47
431	Back Down South	117	58
432	Riverside	99	48
433	Hold On Tight	89	38
434	Someone Like You	135	79
435	Set Fire to the Rain	108	75
436	Rainbow In The Sky - K & A's Radio Blast	168	60
437	Levels	126	58
438	Somebody That I Used To Know	129	76
439	Paradise	140	78
440	Rood	138	53
441	A Boy Named Sue (Live)	105	18
442	Still Loving You	104	72
443	Little Black Submarines	95	65
444	Walk	138	69
445	The A Team	85	76
446	kom terug	97	47
447	Prachtig mooie dag	103	42
448	lippy kids	155	29
449	Titanium (feat. Sia)	126	67
450	Faster	120	53
451	Lonely Boy	166	73
452	Turning Tables	80	66
453	Luv U More - K&A's Radio blast	168	51
454	Kan Ik Iets Voor Je Doen	79	30
455	Driver's Seat	133	54
456	Zing Voor Me	82	52
457	Every Teardrop Is a Waterfall	118	68
458	Waarom Nou Jij	140	40
459	Mijn Vlakke Land	79	33
460	Rumour Has It	120	65
461	Keep Your Head Up	79	66
462	Pumped Up Kicks	128	84
463	Happiness	89	49
464	Give Me Love	116	73
465	Gold on the Ceiling	130	69
466	Ni**as In Paris	140	77
467	Run the World (Girls)	127	75
468	I Won' T Let You Down	106	33
469	Love On Top	94	76
470	Lego House	160	71
471	Skinny Love	166	75
472	Dust Bowl	86	44
473	Damn Those Eyes	172	39
474	These Days	135	64
475	Original Sin	132	42
476	Terug Naar De Kust	117	39
477	Georgia on My Mind	131	49
478	Charlie Brown	138	67
479	I've Just Lost Somebody	88	27
480	Skyfall - Full Length	76	74
481	Zo Stil	170	54
482	Holiday In Spain	126	56
483	Radioactive	136	73
484	Video Games - Remastered	122	55
485	Demons	90	73
486	She	131	64
487	Just Give Me a Reason (feat. Nate Ruess)	95	81
488	Try	104	73
489	I Will Wait	131	69
490	Home Again	142	44
491	Tubular Bells	149	31
492	Winter	78	19
493	Droomland	100	42
494	Wat Zou Je Doen?	184	51
495	Madness	180	70
496	Sovereign Light Café	123	51
497	Can't Hold Us - feat. Ray Dalton	146	83
498	Lover of the Light	107	57
499	San Quentin	84	27
500	On Top Of The World	100	66
501	Flappie	131	52
502	Home Again	85	51
503	If You Could See Me Now	100	51
504	Hall of Fame	85	70
505	Dodenrit	148	34
506	When I Was Your Man	73	82
507	I Won't Give Up	137	72
508	Slapeloze Nachten	112	57
509	One Moment in Time	155	54
510	Zaterdag	141	41
511	Babel	80	57
512	Hopeless Wanderer	154	58
513	Follow the Sun	124	67
514	Later Als Ik Groter Ben	130	48
515	Clown	119	46
516	Stay - Album Version (Edited)	112	66
517	Diamonds	92	67
518	It's Time	105	66
519	Little Talks	103	75
520	Euphoria	132	56
521	Oceaan	126	63
522	Lola Montez	152	57
523	Wake Me Up	124	85
524	Formidable	71	49
525	Do I Wanna Know?	85	82
526	Another Love	123	58
