 Index	Year	Decade
682	2017	2020
683	2017	2020
684	2017	2020
685	2017	2020
686	2017	2020
687	2017	2020
688	2017	2020
689	2017	2020
690	2017	2020
691	2017	2020
692	2017	2020
693	2017	2020
694	2017	2020
695	2017	2020
696	2017	2020
697	2017	2020
698	2017	2020
699	2017	2020
700	2017	2020
701	2017	2020
702	2017	2020
703	2017	2020
704	2017	2020
705	2017	2020
706	2017	2020
707	2017	2020
708	2017	2020
709	2017	2020
710	2017	2020
711	2017	2020
712	2017	2020
713	2017	2020
714	2017	2020
715	2017	2020
716	2017	2020
717	2017	2020
718	2017	2020
719	2017	2020
720	2017	2020
721	2017	2020
722	2017	2020
723	2017	2020
724	2017	2020
725	2017	2020
726	2017	2020
727	2018	2020
728	2018	2020
729	2018	2020
730	2018	2020
731	2018	2020
732	2018	2020
733	2018	2020
734	2018	2020
735	2018	2020
736	2018	2020
737	2018	2020
738	2018	2020
739	2018	2020
740	2018	2020
741	2018	2020
742	2018	2020
743	2018	2020
744	2018	2020
745	2018	2020
746	2018	2020
747	2018	2020
748	2018	2020
749	2018	2020
750	2018	2020
751	2018	2020
752	2018	2020
753	2018	2020
754	2018	2020
755	2018	2020
756	2018	2020
757	2018	2020
758	2018	2020
759	2018	2020
760	2018	2020
761	2018	2020
762	2018	2020
763	2018	2020
764	2018	2020
765	2018	2020
766	2018	2020
767	2018	2020
768	2018	2020
769	2018	2020
770	2018	2020
771	2018	2020
772	2018	2020
773	2018	2020
774	2018	2020
775	2018	2020
776	2018	2020
777	2018	2020
778	2018	2020
779	2019	2020
780	2019	2020
781	2019	2020
782	2019	2020
783	2019	2020
784	2019	2020
785	2019	2020
786	2019	2020
787	2019	2020
788	2019	2020
789	2019	2020
790	2019	2020
791	2019	2020
792	2019	2020
793	2019	2020
794	2019	2020
795	2019	2020
796	2019	2020
797	2019	2020
798	2019	2020
799	2019	2020
800	1970	1970
801	1970	1970
802	1970	1970
803	1970	1970
804	1970	1970
805	1970	1970
806	1970	1970
807	1970	1970
808	1970	1970
809	1970	1970
810	1970	1970
811	1970	1970
812	1970	1970
813	1970	1970
814	1970	1970
815	1970	1970
816	1970	1970
817	1970	1970
818	1970	1970
819	1970	1970
820	1970	1970
821	1970	1970
822	1970	1970
823	1970	1970
824	1970	1970
825	1970	1970
826	1970	1970
827	1970	1970
828	1970	1970
829	1970	1970
830	1970	1970
831	1970	1970
832	1970	1970
833	1970	1970
834	1970	1970
835	1970	1970
836	1970	1970
837	1970	1970
838	1970	1970
839	1970	1970
840	1971	1970
841	1971	1970
842	1971	1970
843	1971	1970
844	1971	1970
845	1971	1970
846	1971	1970
847	1971	1970
848	1971	1970
849	1971	1970
850	1971	1970
851	1971	1970
852	1971	1970
853	1971	1970
854	1971	1970
855	1971	1970
856	1971	1970
857	1971	1970
858	1971	1970
859	1971	1970
860	1971	1970
861	1971	1970
862	1971	1970
863	1971	1970
864	1971	1970
865	1971	1970
866	1971	1970
867	1971	1970
868	1971	1970
869	1971	1970
870	1971	1970
871	1971	1970
872	1971	1970
873	1971	1970
874	1971	1970
875	1971	1970
876	1971	1970
877	1971	1970
878	1971	1970
879	1971	1970
880	1971	1970
881	1971	1970
882	1971	1970
883	1972	1970
884	1972	1970
885	1972	1970
886	1972	1970
887	1972	1970
888	1972	1970
889	1972	1970
890	1972	1970
891	1972	1970
892	1972	1970
893	1972	1970
894	1972	1970
895	1972	1970
896	1972	1970
897	1972	1970
898	1972	1970
899	1972	1970
900	1972	1970
901	1972	1970
902	1972	1970
903	1972	1970
904	1972	1970
905	1972	1970
906	1972	1970
907	1972	1970
908	1972	1970
909	1972	1970
910	1972	1970
911	1972	1970
912	1973	1970
913	1973	1970
914	1973	1970
915	1973	1970
916	1973	1970
917	1973	1970
918	1973	1970
919	1973	1970
920	1973	1970
921	1973	1970
922	1973	1970
923	1973	1970
924	1973	1970
925	1973	1970
926	1973	1970
927	1973	1970
928	1973	1970
929	1973	1970
930	1973	1970
931	1973	1970
932	1973	1970
933	1973	1970
934	1973	1970
935	1973	1970
936	1973	1970
937	1973	1970
938	1973	1970
939	1973	1970
940	1973	1970
941	1974	1970
942	1974	1970
943	1974	1970
944	1974	1970
945	1974	1970
946	1974	1970
947	1974	1970
948	1974	1970
949	1974	1970
950	1974	1970
951	1974	1970
952	1974	1970
953	1974	1970
954	1974	1970
955	1974	1970
956	1974	1970
957	1974	1970
958	1974	1970
959	1974	1970
960	1974	1970
961	1974	1970
962	1974	1970
963	1974	1970
964	1975	1980
965	1975	1980
966	1975	1980
967	1975	1980
968	1975	1980
969	1975	1980
970	1975	1980
971	1975	1980
972	1975	1980
973	1975	1980
974	1975	1980
975	1975	1980
976	1975	1980
977	1975	1980
978	1975	1980
979	1975	1980
980	1975	1980
981	1975	1980
982	1975	1980
983	1975	1980
984	1975	1980
985	1975	1980
986	1975	1980
987	1975	1980
988	1975	1980
989	1975	1980
990	1975	1980
991	1975	1980
992	1975	1980
993	1975	1980
994	1975	1980
995	1975	1980
996	1975	1980
997	1975	1980
998	1975	1980
999	1975	1980
1000	1976	1980
1001	1976	1980
1002	1976	1980
1003	1976	1980
1004	1976	1980
1005	1976	1980
1006	1976	1980
1007	1976	1980
1008	1976	1980
1009	1976	1980
1010	1976	1980
1011	1976	1980
1012	1976	1980
1013	1976	1980
1014	1976	1980
1015	1976	1980
1016	1976	1980
1017	1976	1980
1018	1976	1980
1019	1976	1980
1020	1976	1980
1021	1976	1980
1022	1976	1980
1023	1976	1980
1024	1976	1980
1025	1976	1980
1026	1976	1980
1027	1976	1980
1028	1976	1980
1029	1976	1980
1030	1976	1980
1031	1977	1980
1032	1977	1980
1033	1977	1980
1034	1977	1980
1035	1977	1980
1036	1977	1980
1037	1977	1980
1038	1977	1980
1039	1977	1980
1040	1977	1980
1041	1977	1980
1042	1977	1980
1043	1977	1980
1044	1977	1980
1045	1977	1980
1046	1977	1980
1047	1977	1980
1048	1977	1980
1049	1977	1980
1050	1977	1980
1051	1977	1980
1052	1977	1980
1053	1977	1980
1054	1977	1980
1055	1977	1980
1056	1977	1980
1057	1977	1980
1058	1977	1980
1059	1977	1980
1060	1977	1980
1061	1977	1980
1062	1977	1980
1063	1977	1980
1064	1977	1980
1065	1977	1980
1066	1977	1980
1067	1977	1980
1068	1977	1980
1069	1977	1980
1070	1977	1980
1071	1977	1980
1072	1977	1980
1073	1977	1980
1074	1977	1980
1075	1977	1980
1076	1977	1980
1077	1977	1980
1078	1977	1980
1079	1977	1980
1080	1977	1980
1081	1977	1980
1082	1978	1980
1083	1978	1980
1084	1978	1980
1085	1978	1980
1086	1978	1980
1087	1978	1980
1088	1978	1980
1089	1978	1980
1090	1978	1980
1091	1978	1980
1092	1978	1980
1093	1978	1980
1094	1978	1980
1095	1978	1980
1096	1978	1980
1097	1978	1980
1098	1978	1980
1099	1978	1980
1100	1978	1980
1101	1978	1980
1102	1978	1980
1103	1978	1980
1104	1978	1980
1105	1978	1980
1106	1978	1980
1107	1978	1980
1108	1978	1980
1109	1978	1980
1110	1978	1980
1111	1978	1980
1112	1978	1980
1113	1979	1980
1114	1979	1980
1115	1979	1980
1116	1979	1980
1117	1979	1980
1118	1979	1980
1119	1979	1980
1120	1979	1980
1121	1979	1980
1122	1979	1980
1123	1979	1980
1124	1979	1980
1125	1979	1980
1126	1979	1980
1127	1979	1980
1128	1979	1980
1129	1979	1980
1130	1979	1980
1131	1979	1980
1132	1979	1980
1133	1979	1980
1134	1979	1980
1135	1979	1980
1136	1979	1980
1137	1979	1980
1138	1979	1980
1139	1979	1980
1140	1979	1980
1141	1979	1980
1142	1979	1980
1143	1979	1980
1144	1979	1980
1145	1979	1980
1146	1979	1980
1147	1979	1980
1148	1979	1980
1149	1979	1980
1150	1979	1980
1151	1979	1980
1152	1979	1980
1153	1980	1980
1154	1980	1980
1155	1980	1980
1156	1980	1980
1157	1980	1980
1158	1980	1980
1159	1980	1980
1160	1980	1980
1161	1980	1980
1162	1980	1980
1163	1980	1980
1164	1980	1980
1165	1980	1980
1166	1980	1980
1167	1980	1980
1168	1980	1980
1169	1980	1980
1170	1980	1980
1171	1980	1980
1172	1980	1980
1173	1980	1980
1174	1980	1980
1175	1980	1980
1176	1980	1980
1177	1980	1980
1178	1980	1980
1179	1980	1980
1180	1980	1980
1181	1980	1980
1182	1980	1980
1183	1980	1980
1184	1980	1980
1185	1980	1980
1186	1980	1980
1187	1980	1980
1188	1980	1980
1189	1980	1980
1190	1981	1980
1191	1981	1980
1192	1981	1980
1193	1981	1980
1194	1981	1980
1195	1981	1980
1196	1981	1980
1197	1981	1980
1198	1981	1980
1199	1981	1980
1200	1981	1980
1201	1981	1980
1202	1981	1980
1203	1981	1980
1204	1981	1980
1205	1982	1980
1206	1982	1980
1207	1982	1980
1208	1982	1980
1209	1982	1980
1210	1982	1980
1211	1982	1980
1212	1982	1980
1213	1982	1980
1214	1982	1980
1215	1982	1980
1216	1982	1980
1217	1982	1980
1218	1982	1980
1219	1982	1980
1220	1982	1980
1221	1982	1980
1222	1982	1980
1223	1982	1980
1224	1982	1980
1225	1982	1980
1226	1982	1980
1227	1982	1980
1228	1982	1980
1229	1982	1980
1230	1982	1980
1231	1982	1980
1232	1982	1980
1233	1982	1980
1234	1982	1980
1235	1982	1980
1236	1982	1980
1237	1983	1980
1238	1983	1980
1239	1983	1980
1240	1983	1980
1241	1983	1980
1242	1983	1980
1243	1983	1980
1244	1983	1980
1245	1983	1980
1246	1983	1980
1247	1983	1980
1248	1983	1980
1249	1983	1980
1250	1983	1980
1251	1983	1980
1252	1983	1980
1253	1983	1980
1254	1983	1980
1255	1983	1980
1256	1983	1980
1257	1983	1980
1258	1983	1980
1259	1983	1980
1260	1983	1980
1261	1983	1980
1262	1983	1980
1263	1983	1980
1264	1983	1980
1265	1983	1980
1266	1983	1980
1267	1984	1980
1268	1984	1980
1269	1984	1980
1270	1984	1980
1271	1984	1980
1272	1984	1980
1273	1984	1980
1274	1984	1980
1275	1984	1980
1276	1984	1980
1277	1984	1980
1278	1984	1980
1279	1984	1980
1280	1984	1980
1281	1984	1980
1282	1984	1980
1283	1984	1980
1284	1984	1980
1285	1984	1980
1286	1984	1980
1287	1984	1980
1288	1984	1980
1289	1984	1980
1290	1984	1980
1291	1984	1980
1292	1984	1980
1293	1984	1980
1294	1984	1980
1295	1984	1980
