 Index	Year	Decade
1883	1966	1970
1884	1967	1970
1885	1967	1970
1886	1967	1970
1887	1967	1970
1888	1967	1970
1889	1967	1970
1890	1967	1970
1891	1967	1970
1892	1967	1970
1893	1967	1970
1894	1967	1970
1895	1967	1970
1896	1967	1970
1897	1967	1970
1898	1967	1970
1899	1967	1970
1900	1967	1970
1901	1967	1970
1902	1967	1970
1903	1967	1970
1904	1967	1970
1905	1967	1970
1906	1967	1970
1907	1967	1970
1908	1967	1970
1909	1967	1970
1910	1967	1970
1911	1967	1970
1912	1967	1970
1913	1967	1970
1914	1967	1970
1915	1967	1970
1916	1967	1970
1917	1967	1970
1918	1967	1970
1919	1967	1970
1920	1967	1970
1921	1968	1970
1922	1968	1970
1923	1968	1970
1924	1968	1970
1925	1968	1970
1926	1968	1970
1927	1968	1970
1928	1968	1970
1929	1968	1970
1930	1968	1970
1931	1968	1970
1932	1968	1970
1933	1968	1970
1934	1968	1970
1935	1968	1970
1936	1968	1970
1937	1968	1970
1938	1968	1970
1939	1968	1970
1940	1968	1970
1941	1968	1970
1942	1968	1970
1943	1968	1970
1944	1968	1970
1945	1968	1970
1946	1968	1970
1947	1968	1970
1948	1969	1970
1949	1969	1970
1950	1969	1970
1951	1969	1970
1952	1969	1970
1953	1969	1970
1954	1969	1970
1955	1969	1970
1956	1969	1970
1957	1969	1970
1958	1969	1970
1959	1969	1970
1960	1969	1970
1961	1969	1970
1962	1969	1970
1963	1969	1970
1964	1969	1970
1965	1969	1970
1966	1969	1970
1967	1969	1970
1968	1969	1970
1969	1969	1970
1970	1969	1970
1971	1969	1970
1972	1969	1970
1973	1969	1970
1974	1969	1970
1975	1969	1970
1976	1969	1970
1977	1969	1970
1978	1969	1970
1979	1969	1970
1980	1969	1970
1981	1969	1970
1982	1969	1970
1983	1969	1970
1984	1969	1970
1985	1969	1970
1986	1956	1960
1987	1958	1960
1988	1958	1960
1989	1958	1960
1990	1958	1960
1991	1958	1960
1992	1959	1960
1993	1959	1960
1994	1959	1960
